"","accession","genus","species","seqlength","latitude","longitude","genetype","dnasource","taxa","vertebrate"
"9134","JF435513","Micronycteris","megalotis","623",7.57,-65.87,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9135","JF435463","Glossophaga","soricina","638",6.82,-58.17,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9136","JF435564","Platyrrhinus","helleri","657",4.73,-58.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9137","JF435659","Saccopteryx","bilineata","657",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9138","JF435703","Saccopteryx","bilineata","657",4.37,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9139","JF435514","Micronycteris","megalotis","643",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9140","JF435565","Platyrrhinus","helleri","657",4.73,-58.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9141","JF435464","Glossophaga","soricina","657",5.33,-57.33,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9142","JF435660","Saccopteryx","bilineata","654",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9143","JF435612","Platyrrhinus","helleri","657",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9144","JF435704","Saccopteryx","bilineata","642",4.37,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9145","JF435515","Micronycteris","megalotis","644",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9146","JF435465","Glossophaga","soricina","657",7.37,-60.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9147","JF435566","Platyrrhinus","helleri","657",4.53,-59.08,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9148","JF435613","Platyrrhinus","helleri","657",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9149","JF435661","Saccopteryx","bilineata","657",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9150","JF435705","Saccopteryx","bilineata","657",4.37,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9151","JF435516","Micronycteris","megalotis","657",4.63,-58.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9152","JF435614","Platyrrhinus","helleri","657",4.92,-55.17,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9153","JF435466","Glossophaga","soricina","657",7.37,-60.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9154","JF435567","Platyrrhinus","helleri","657",4.37,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9155","JF435662","Saccopteryx","bilineata","657",4.17,-59.08,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9156","JF435706","Saccopteryx","bilineata","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9157","JF435518","Micronycteris","megalotis","657",5.07,-59.87,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9158","JF435615","Platyrrhinus","helleri","657",4.93,-55.2,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9159","JF435467","Glossophaga","soricina","657",9.1,-79.7,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9160","JF435568","Platyrrhinus","helleri","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9161","JF435663","Saccopteryx","bilineata","641",5.15,-58.7,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9162","JF435707","Saccopteryx","bilineata","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9163","JF435616","Platyrrhinus","helleri","657",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9164","JF435519","Micronycteris","megalotis","657",5.18,-59.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9165","JF435664","Saccopteryx","bilineata","657",5.15,-58.7,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9166","JF435569","Platyrrhinus","helleri","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9167","JF435708","Saccopteryx","bilineata","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9168","JF435520","Micronycteris","megalotis","643",4.75,-59.02,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9169","JF435665","Saccopteryx","bilineata","657",5.15,-58.7,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9170","JF435570","Platyrrhinus","helleri","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9171","JF435709","Saccopteryx","bilineata","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9172","JF435521","Micronycteris","megalotis","627",4.28,-58.52,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9173","JF435666","Saccopteryx","bilineata","657",5.15,-58.7,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9174","JF435710","Saccopteryx","bilineata","638",4.33,-58.8,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9175","JF435571","Platyrrhinus","helleri","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9176","JF435522","Micronycteris","megalotis","657",4.37,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9177","JF435667","Saccopteryx","bilineata","657",5.15,-58.7,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9178","JF435711","Saccopteryx","bilineata","657",4.75,-59.02,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9179","JF435572","Platyrrhinus","helleri","657",4.33,-58.8,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9180","JF435620","Platyrrhinus","helleri","613",3.27,-58.78,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9181","JF435523","Micronycteris","megalotis","657",4.73,-58.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9182","JF435668","Saccopteryx","bilineata","657",5.15,-58.7,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9183","JF435712","Saccopteryx","bilineata","657",1.37,-58.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9184","JF435621","Platyrrhinus","helleri","657",-0.63,-76.45,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9185","JF435573","Platyrrhinus","helleri","657",4.33,-58.8,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9186","JF435713","Saccopteryx","bilineata","657",1.37,-58.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9187","JF435669","Saccopteryx","bilineata","657",5.15,-58.7,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9188","JF435574","Platyrrhinus","helleri","657",1.37,-58.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9189","JF435714","Saccopteryx","bilineata","657",4.63,-58.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9190","JF435670","Saccopteryx","bilineata","657",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9191","JF435715","Saccopteryx","bilineata","657",4.73,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9192","JF435671","Saccopteryx","bilineata","657",5.15,-58.7,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9193","JF435716","Saccopteryx","bilineata","657",4.73,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9194","JF435717","Saccopteryx","bilineata","657",4.67,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9195","JF435718","Saccopteryx","bilineata","657",-0.83,-76.35,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9196","JF435719","Saccopteryx","bilineata","657",-0.65,-76.45,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9197","JF435720","Saccopteryx","bilineata","657",-0.65,-76.45,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9198","JF435755","Trachops","cirrhosus","657",3.27,-58.78,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9199","JF435806","Trachops","cirrhosus","644",9.15,-79.75,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9200","JF435756","Trachops","cirrhosus","657",3.27,-58.78,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9201","JF435906","Uroderma","bilobatum","657",-0.83,-76.33,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9202","JF435757","Trachops","cirrhosus","657",3.18,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9203","JF435857","Uroderma","bilobatum","657",5.18,-59.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9204","JF435911","Uroderma","bilobatum","657",-0.83,-76.35,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9205","JF435758","Trachops","cirrhosus","656",4.75,-59.02,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9206","JF435858","Uroderma","bilobatum","657",5.17,-59.49,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9207","JF435912","Uroderma","bilobatum","657",-0.83,-76.35,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9208","JF435759","Trachops","cirrhosus","657",4.67,-58.68,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9209","JF435810","Trachops","cirrhosus","657",9.4,-66.47,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9210","JF435913","Uroderma","bilobatum","651",-0.68,-76.43,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9211","JF435859","Uroderma","bilobatum","657",5.18,-59.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9212","JF435760","Trachops","cirrhosus","657",4.38,-58.92,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9213","JF435914","Uroderma","bilobatum","649",-0.68,-76.43,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9214","JF435811","Trachops","cirrhosus","657",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9215","JF435860","Uroderma","bilobatum","657",3.18,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9216","JF435812","Trachops","cirrhosus","655",7.57,-65.87,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9217","JF435861","Uroderma","bilobatum","657",6.5,-58.22,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9218","JF435915","Uroderma","bilobatum","638",-0.68,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9219","JF435761","Trachops","cirrhosus","657",4.38,-58.92,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9220","JF435813","Trachops","cirrhosus","657",6.43,-66.12,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9221","JF435862","Uroderma","bilobatum","657",6.5,-58.22,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9222","JF435916","Uroderma","bilobatum","657",-0.8,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9223","JF435762","Trachops","cirrhosus","657",4.38,-58.92,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9224","JF435814","Trachops","cirrhosus","657",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9225","JF435863","Uroderma","bilobatum","653",6.5,-58.22,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9226","JF435763","Trachops","cirrhosus","654",4.45,-58.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9227","JF435917","Uroderma","bilobatum","653",-0.68,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9228","JF435815","Trachops","cirrhosus","655",7.17,-64.98,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9229","JF435864","Uroderma","bilobatum","657",6.5,-58.22,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9230","JF435764","Trachops","cirrhosus","657",4.45,-58.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9231","JF435918","Uroderma","bilobatum","647",-0.75,-76.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9232","JF435816","Trachops","cirrhosus","657",6.05,-67.42,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9233","JF435865","Uroderma","bilobatum","657",5.33,-59.92,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9234","JF435919","Uroderma","bilobatum","637",-0.65,-76.45,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9235","JF435765","Trachops","cirrhosus","657",4.45,-58.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9236","JF435817","Trachops","cirrhosus","655",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9237","JF435866","Uroderma","bilobatum","657",4.38,-58.92,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9238","JF435766","Trachops","cirrhosus","657",3.27,-58.78,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9239","JF435920","Uroderma","bilobatum","657",-0.83,-76.33,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9240","JF435818","Trachops","cirrhosus","657",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9241","JF435767","Trachops","cirrhosus","657",4.33,-58.8,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9242","JF435867","Uroderma","bilobatum","657",4.38,-58.92,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9243","JF435921","Uroderma","bilobatum","657",3.27,-59.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9244","JF435819","Trachops","cirrhosus","655",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9245","JF435868","Uroderma","bilobatum","653",4.38,-58.92,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9246","JF435922","Uroderma","bilobatum","657",4.38,-58.87,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9247","JF435820","Trachops","cirrhosus","657",-0.8,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9248","JF435768","Trachops","cirrhosus","657",4.73,-58.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9249","JF435869","Uroderma","bilobatum","657",4.45,-58.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9250","JF435923","Uroderma","bilobatum","657",4.33,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9251","JF435769","Trachops","cirrhosus","657",4.73,-58.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9252","JF435821","Trachops","cirrhosus","657",-0.82,-76.35,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9253","JF435870","Uroderma","bilobatum","657",5.82,-61.07,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9254","JF435721","Saccopteryx","bilineata","657",-0.65,-76.45,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9255","JF435822","Trachops","cirrhosus","657",-0.8,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9256","JF435770","Trachops","cirrhosus","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9257","JF435924","Uroderma","bilobatum","657",4.33,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9258","JF435871","Uroderma","bilobatum","657",4.37,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9259","JF435722","Saccopteryx","bilineata","657",-0.68,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9260","JF435925","Uroderma","bilobatum","657",7.65,-58.95,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9261","JF435771","Trachops","cirrhosus","657",4.53,-59.08,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9262","JF435823","Trachops","cirrhosus","657",-0.65,-76.45,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9263","JF435872","Uroderma","bilobatum","647",4.37,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9264","JF435723","Saccopteryx","bilineata","657",3.27,-59.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9265","JF435926","Uroderma","bilobatum","657",7.57,-59.15,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9266","JF435824","Trachops","cirrhosus","657",-0.8,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9267","JF435772","Trachops","cirrhosus","657",4.58,-58.62,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9268","JF435873","Uroderma","bilobatum","653",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9269","JF435724","Saccopteryx","bilineata","657",3.27,-59.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9270","JF435825","Uroderma","bilobatum","657",7.38,-60.53,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9271","JF435927","Uroderma","bilobatum","657",7.52,-59.38,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9272","JF435773","Trachops","cirrhosus","657",4.58,-58.62,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9273","JF435725","Saccopteryx","bilineata","657",3.75,-59.3,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9274","JF435874","Uroderma","bilobatum","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9275","JF435774","Trachops","cirrhosus","657",1.37,-58.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9276","JF435826","Uroderma","bilobatum","653",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9277","JF435928","Uroderma","bilobatum","657",7.52,-59.38,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9278","JF435726","Saccopteryx","bilineata","657",3.75,-59.3,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9279","JF435875","Uroderma","bilobatum","653",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9280","JF435775","Trachops","cirrhosus","657",1.37,-58.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9281","JF435827","Uroderma","bilobatum","645",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9282","JF435929","Uroderma","bilobatum","657",7.52,-59.38,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9283","JF435727","Saccopteryx","bilineata","657",4.33,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9284","JF435876","Uroderma","bilobatum","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9285","JF435776","Trachops","cirrhosus","657",1.53,-58.83,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9286","JF435728","Saccopteryx","bilineata","657",5.38,-57.37,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9287","JF435828","Uroderma","bilobatum","657",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9288","JF435930","Uroderma","bilobatum","657",5.17,-57.3,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9289","JF435877","Uroderma","bilobatum","657",4.33,-58.82,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9290","JF435777","Trachops","cirrhosus","657",1.53,-58.83,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9291","JF435829","Uroderma","bilobatum","657",5.15,-58.7,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9292","JF435729","Saccopteryx","bilineata","657",5.38,-57.37,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9293","JF435931","Uroderma","bilobatum","653",7.37,-60.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9294","JF435878","Uroderma","bilobatum","657",4.33,-58.8,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9295","JF435778","Trachops","cirrhosus","657",1.53,-58.83,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9296","JF435830","Uroderma","bilobatum","657",7.37,-60.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9297","JF435730","Saccopteryx","bilineata","657",6.48,-58.58,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9298","JF435932","Uroderma","bilobatum","657",4.48,-57.06,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9299","JF435779","Trachops","cirrhosus","657",4.75,-59.02,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9300","JF435879","Uroderma","bilobatum","657",4.33,-58.8,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9301","JF435831","Uroderma","bilobatum","657",7.37,-60.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9302","JF435933","Uroderma","bilobatum","657",9.1,-79.7,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9303","JF435780","Trachops","cirrhosus","657",4.73,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9304","JF435880","Uroderma","bilobatum","657",4.33,-58.8,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9305","JF435832","Uroderma","bilobatum","657",7.37,-60.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9306","JF435881","Uroderma","bilobatum","657",4.33,-58.8,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9307","JF435732","Saccopteryx","bilineata","612",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9308","JF435934","Uroderma","bilobatum","657",8.68,-79.93,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9309","JF435781","Trachops","cirrhosus","657",4.73,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9310","JF435833","Uroderma","bilobatum","657",7.37,-60.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9311","JF435935","Uroderma","bilobatum","656",8.68,-79.93,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9312","JF435882","Uroderma","bilobatum","657",4.67,-58.68,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9313","JF435733","Saccopteryx","bilineata","657",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9314","JF435782","Trachops","cirrhosus","657",-0.68,-76.43,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9315","JF435834","Uroderma","bilobatum","657",7.37,-60.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9316","JF435883","Uroderma","bilobatum","657",1.37,-58.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9317","JF435936","Uroderma","bilobatum","654",8,-77.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9318","JF435734","Saccopteryx","bilineata","657",4.93,-55.2,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9319","JF435783","Trachops","cirrhosus","657",-0.8,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9320","JF435835","Uroderma","bilobatum","657",7.37,-60.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9321","JF435884","Uroderma","bilobatum","653",1.37,-58.77,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9322","JF435937","Uroderma","bilobatum","657",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9323","JF435735","Saccopteryx","bilineata","657",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9324","JF435784","Trachops","cirrhosus","656",-0.8,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9325","JF435836","Uroderma","bilobatum","657",7.37,-60.48,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9326","JF435885","Uroderma","bilobatum","657",4.63,-58.72,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9327","JF435938","Uroderma","bilobatum","657",4.93,-55.2,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9328","JF435736","Saccopteryx","bilineata","657",4.95,-55.18,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9329","JF435785","Trachops","cirrhosus","657",-0.8,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9330","JF435837","Uroderma","bilobatum","647",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9331","JF435886","Uroderma","bilobatum","644",4.73,-58.85,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9332","JF435737","Saccopteryx","bilineata","611",-0.68,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9333","JF435786","Trachops","cirrhosus","657",-0.8,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9334","JF435838","Uroderma","bilobatum","657",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9335","JF435887","Uroderma","bilobatum","657",5.8,-61.1,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9336","JF435738","Saccopteryx","bilineata","657",-0.68,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9337","JF435787","Trachops","cirrhosus","657",-0.8,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9338","JF435839","Uroderma","bilobatum","657",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9339","JF435888","Uroderma","bilobatum","657",5.8,-61.1,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9340","JF435739","Saccopteryx","bilineata","657",-0.68,-76.43,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9341","JF435788","Trachops","cirrhosus","657",-0.68,-76.43,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9342","JF435942","Uroderma","bilobatum","657",-0.68,-76.43,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9343","JF435840","Uroderma","bilobatum","657",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9344","JF435889","Uroderma","bilobatum","657",-0.68,-76.43,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9345","JF435789","Trachops","cirrhosus","657",-0.68,-76.43,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9346","JF435841","Uroderma","bilobatum","657",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9347","JF435943","Uroderma","bilobatum","657",-0.68,-76.43,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9348","JF435890","Uroderma","bilobatum","657",-0.83,-76.33,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9349","JF435842","Uroderma","bilobatum","657",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9350","JF435790","Trachops","cirrhosus","606",-0.8,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9351","JF435891","Uroderma","bilobatum","657",-0.83,-76.33,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9352","JF435944","Uroderma","bilobatum","651",-0.68,-76.43,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9353","JF435742","Saccopteryx","bilineata","656",-0.65,-76.45,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9354","JF435843","Uroderma","bilobatum","657",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9355","JF435892","Uroderma","bilobatum","657",-0.83,-76.33,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9356","JF435791","Trachops","cirrhosus","657",-0.67,-76.4,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9357","JF435945","Uroderma","bilobatum","657",-0.68,-76.43,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9358","JF435743","Trachops","cirrhosus","657",7.38,-60.53,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9359","JF435844","Uroderma","bilobatum","647",4.1,-59.05,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
"9360","JF435893","Uroderma","bilobatum","657",-0.83,-76.33,"genomic DNA","mitochondrion","Mammalia","Vertebrata"
